ticker, fiscal quarter end, reported date
COST, 202102, 20210304
COST, 202105, 20210527
COST, 202108, 20210923
COST, 202111, 20211209
COST, 202202, 20220303
CPRT, 201804, 20180523
CPRT, 201807, 20180919
CPRT, 202104, 20210519
CPRT, 202107, 20210908
CPRT, 202110, 20211117
CPRT, 202201, 20220216
FB, 201709, 20171101
FB, 201712, 20180131
FB, 201803, 20180425
FB, 201806, 20180725
FB, 202103, 20210428
FB, 202106, 20210728
FB, 202109, 20211025
FB, 202112, 20220202
GOOG, 201709, 20171026
GOOG, 201712, 20180201
GOOG, 201803, 20180423
GOOG, 201806, 20180723
GOOG, 202103, 20210427
GOOG, 202106, 20210727
GOOG, 202109, 20211026
GOOG, 202112, 20220201
MSCI, 201706, 20170803
MSCI, 201709, 20171102
MSCI, 201712, 20180201
MSCI, 201803, 20180503
MSCI, 202103, 20210427
MSCI, 202106, 20210727
MSCI, 202109, 20211026
MSCI, 202112, 20220127
V, 202103, 20210427
V, 202106, 20210727
V, 202109, 20211026
V, 202112, 20220127
