BBK, Blackrock Municipal Bond Trust
BAF, BlackRock Municipal Income Investment Quality Trust
BYM, Blackrock Municipal Income Quality Trust of Beneficial Interest
BLE, BlackRock Municipal Income Trust II
MFL, Blackrock MuniHoldings Investment Quality Fund of Beneficial Interest
MVF, Blackrock MuniVest Fund Inc.
VOO, Vanguard S&P 500 ETF
VTI, Vanguard Total Stock Market ETF
VXUS, Vanguard Total International Stock Market ETF
BND, Vanguard Total Bond Market Index ETF
BNDX, Vanguard Total International Bond Index ETF
QQQ, "Invesco QQQ Trust, Series 1"
QQQM, Invesco NASDAQ 100 ETF
