Date,Close,ret_bps
2021-05-18,4127.83,
2021-05-19,4115.68,-29
2021-05-20,4159.12,106
2021-05-21,4155.86,-8
2021-05-24,4197.05,99
2021-05-25,4188.13,-21
2021-05-26,4195.99,19
2021-05-27,4200.88,12
2021-05-28,4204.11,8
2021-06-01,4202.04,-5
2021-06-02,4208.12,14
2021-06-03,4192.85,-36
2021-06-04,4229.89,88
2021-06-07,4226.52,-8
2021-06-08,4227.26,2
2021-06-09,4219.55,-18
2021-06-10,4239.18,47
2021-06-11,4247.44,19
2021-06-14,4255.15,18
2021-06-15,4246.59,-20
2021-06-16,4223.7,-54
2021-06-17,4221.86,-4
